qdate,time,appID,power(W),occupancy
2019/03/03,13:19:6,app_1,164.20,1
2019/03/03,13:19:10,app_1,194.10,1
2019/03/03,13:19:13,app_1,166.43,1
2019/03/03,13:19:17,app_1,159.55,1
2019/03/03,13:19:21,app_1,143.27,1
2019/03/03,13:19:24,app_1,175.88,1
2019/03/03,13:19:28,app_1,176.66,1
2019/03/03,13:19:31,app_1,156.42,1
2019/03/03,13:19:35,app_1,169.03,1
2019/03/03,13:19:38,app_1,156.98,1
2019/03/03,13:19:42,app_1,166.78,1
2019/03/03,13:19:49,app_1,173.84,1
2019/03/03,13:19:52,app_1,154.40,1
2019/03/03,13:19:56,app_1,155.23,1
2019/03/03,13:19:59,app_1,149.07,1
2019/03/03,13:20:3,app_1,178.04,1
2019/03/03,13:20:6,app_1,148.33,1
2019/03/03,13:20:20,app_1,177.15,1
2019/03/03,13:20:24,app_1,147.70,1
2019/03/03,13:20:27,app_1,196.06,1
2019/03/03,13:20:31,app_1,183.37,1
2019/03/03,13:20:34,app_1,154.48,1
2019/03/03,13:20:38,app_1,143.53,1
2019/03/03,13:20:41,app_1,160.82,1
2019/03/03,13:20:45,app_1,161.53,1
2019/03/03,13:20:48,app_1,173.92,1
2019/03/03,13:20:52,app_1,141.97,1
2019/03/03,13:20:56,app_1,144.62,1
2019/03/03,13:20:59,app_1,155.20,1
2019/03/03,13:21:3,app_1,147.66,1
2019/03/03,13:21:6,app_1,185.34,1
2019/03/03,13:21:10,app_1,170.43,1
2019/03/03,13:21:13,app_1,141.80,1
2019/03/03,13:21:17,app_1,138.38,1
2019/03/03,13:21:21,app_1,170.15,1
2019/03/03,13:21:24,app_1,140.44,1
2019/03/03,13:21:51,app_1,8411.40,1
2019/03/03,13:21:55,app_1,1986.05,1
2019/03/03,13:21:59,app_1,478.33,1
2019/03/03,13:22:2,app_1,160.65,1
2019/03/03,13:22:6,app_1,154.66,1
2019/03/03,13:22:9,app_1,129.22,1
2019/03/03,13:22:13,app_1,147.05,1
2019/03/03,13:22:16,app_1,148.65,1
2019/03/03,13:22:20,app_1,126.52,1
2019/03/03,13:22:27,app_1,144.43,1
2019/03/03,13:22:30,app_1,126.21,1
2019/03/03,13:22:34,app_1,122.65,1
2019/03/03,13:22:38,app_1,143.39,1
2019/03/03,13:22:41,app_1,126.30,1
2019/03/03,13:22:45,app_1,122.84,1
2019/03/03,13:22:55,app_1,122.71,1
2019/03/03,13:23:2,app_1,145.03,1
2019/03/03,13:23:6,app_1,112.64,1
2019/03/03,13:23:10,app_1,108.80,1
2019/03/03,13:23:13,app_1,139.62,1
2019/03/03,13:23:24,app_1,123.42,1
2019/03/03,13:23:27,app_1,118.80,1
2019/03/03,13:23:31,app_1,133.37,1
2019/03/03,13:23:34,app_1,131.45,1
2019/03/03,13:23:38,app_1,133.15,1
2019/03/03,13:23:42,app_1,131.86,1
2019/03/03,13:23:45,app_1,115.15,1
2019/03/03,13:23:52,app_1,131.20,1
2019/03/03,13:23:56,app_1,134.93,1
2019/03/03,13:23:59,app_1,131.51,1
2019/03/03,13:24:3,app_1,136.72,1
2019/03/03,13:24:6,app_1,129.45,1
2019/03/03,13:24:10,app_1,129.49,1
2019/03/03,13:24:13,app_1,130.90,1
2019/03/03,13:24:17,app_1,130.45,1
2019/03/03,13:24:24,app_1,134.00,1
2019/03/03,13:24:28,app_1,135.42,1
2019/03/03,13:24:31,app_1,135.75,1
2019/03/03,13:24:35,app_1,126.53,1
2019/03/03,13:24:38,app_1,127.88,1
2019/03/03,13:24:42,app_1,126.77,1
2019/03/03,13:24:45,app_1,126.68,1
2019/03/03,13:24:49,app_1,127.00,1
2019/03/03,13:24:56,app_1,124.85,1
2019/03/03,13:24:59,app_1,804.49,1
2019/03/03,13:25:3,app_1,267.84,1
2019/03/03,13:25:7,app_1,435.78,1
2019/03/03,13:25:10,app_1,163.05,1
2019/03/03,13:25:14,app_1,136.68,1
2019/03/03,13:25:17,app_1,129.38,1
2019/03/03,13:25:21,app_1,131.52,1
2019/03/03,13:25:39,app_1,116.32,1
2019/03/03,13:25:42,app_1,126.57,1
2019/03/03,13:25:46,app_1,126.38,1
2019/03/03,13:25:49,app_1,129.68,1
2019/03/03,13:25:56,app_1,121.06,1
2019/03/03,13:26:0,app_1,127.71,1
2019/03/03,13:26:4,app_1,122.03,1
2019/03/03,13:26:7,app_1,186.44,1
2019/03/03,13:26:11,app_1,274.26,1
2019/03/03,13:26:14,app_1,272.58,1
2019/03/03,13:26:18,app_1,260.97,1
2019/03/03,13:26:21,app_1,250.54,1
2019/03/03,13:26:25,app_1,259.63,1
2019/03/03,13:26:28,app_1,261.52,1
2019/03/03,13:26:35,app_1,261.59,1
2019/03/03,13:26:39,app_1,263.55,1
2019/03/03,13:26:46,app_1,253.81,1
2019/03/03,13:26:49,app_1,213.79,1
2019/03/03,13:26:53,app_1,211.44,1
2019/03/03,13:26:57,app_1,215.01,1
2019/03/03,13:27:0,app_1,212.95,1
2019/03/03,13:27:4,app_1,212.69,1
2019/03/03,13:27:7,app_1,213.91,1
2019/03/03,13:27:11,app_1,232.36,1
2019/03/03,13:27:14,app_1,266.74,1
2019/03/03,13:27:18,app_1,261.31,1
2019/03/03,13:27:22,app_1,287.05,1
2019/03/03,13:27:29,app_1,270.57,1
2019/03/03,13:27:32,app_1,273.30,1
2019/03/03,13:27:36,app_1,263.68,1
2019/03/03,13:27:47,app_1,258.31,1
2019/03/03,13:27:50,app_1,258.35,1
2019/03/03,13:27:54,app_1,251.09,1
2019/03/03,13:28:1,app_1,259.74,1
2019/03/03,13:28:4,app_1,276.70,1
2019/03/03,13:28:8,app_1,268.95,1
2019/03/03,13:28:12,app_1,271.82,1
2019/03/03,13:28:15,app_1,254.80,1
2019/03/03,13:28:19,app_1,263.24,1
2019/03/03,13:28:22,app_1,277.22,1
2019/03/03,13:28:26,app_1,263.74,1
2019/03/03,13:28:30,app_1,272.51,1
2019/03/03,13:28:33,app_1,257.62,1
2019/03/03,13:28:37,app_1,290.23,1
2019/03/03,13:28:40,app_1,267.01,1
2019/03/03,13:28:44,app_1,253.16,1
2019/03/03,13:28:54,app_1,270.51,1
2019/03/03,13:28:58,app_1,263.65,1
2019/03/03,13:29:1,app_1,216.97,1
2019/03/03,13:29:5,app_1,233.55,1
2019/03/03,13:29:12,app_1,213.42,1
2019/03/03,13:29:15,app_1,215.38,1
2019/03/03,13:29:19,app_1,207.75,1
2019/03/03,13:29:22,app_1,201.94,1
2019/03/03,13:29:26,app_1,199.59,1
2019/03/03,13:29:29,app_1,202.66,1
2019/03/03,13:29:33,app_1,197.68,1
2019/03/03,13:29:37,app_1,204.76,1
2019/03/03,13:29:40,app_1,202.76,1
2019/03/03,13:29:44,app_1,206.10,1
2019/03/03,13:29:47,app_1,197.59,1
2019/03/03,13:29:51,app_1,207.06,1
2019/03/03,13:29:58,app_1,209.90,1
2019/03/03,13:30:2,app_1,200.19,1
2019/03/03,13:30:5,app_1,201.59,1
2019/03/03,13:30:19,app_1,204.45,1
2019/03/03,13:30:23,app_1,209.87,1
2019/03/03,13:30:26,app_1,209.89,1
2019/03/03,13:30:30,app_1,207.06,1
2019/03/03,13:30:33,app_1,196.05,1
2019/03/03,13:30:37,app_1,205.62,1
2019/03/03,13:30:41,app_1,203.86,1
2019/03/03,13:30:44,app_1,203.31,1
2019/03/03,13:30:48,app_1,203.18,1
2019/03/03,13:30:51,app_1,203.59,1
2019/03/03,13:30:55,app_1,203.05,1
2019/03/03,13:30:59,app_1,190.02,1
2019/03/03,13:31:6,app_1,193.43,1
2019/03/03,13:31:13,app_1,196.84,1
2019/03/03,13:31:17,app_1,238.42,1
2019/03/03,13:31:20,app_1,199.44,1
2019/03/03,13:31:24,app_1,202.64,1
2019/03/03,13:31:27,app_1,200.91,1
2019/03/03,13:31:31,app_1,184.28,1
2019/03/03,13:31:35,app_1,201.42,1
2019/03/03,13:31:42,app_1,206.68,1
2019/03/03,13:31:45,app_1,198.90,1
2019/03/03,13:31:49,app_1,189.30,1
2019/03/03,13:31:52,app_1,195.56,1
2019/03/03,13:31:56,app_1,201.91,1
2019/03/03,13:32:0,app_1,201.79,1
2019/03/03,13:32:3,app_1,203.38,1
2019/03/03,13:32:7,app_1,229.90,1
2019/03/03,13:32:14,app_1,205.15,1
2019/03/03,13:32:28,app_1,201.39,1
2019/03/03,13:32:31,app_1,206.87,1
2019/03/03,13:32:35,app_1,193.71,1
2019/03/03,13:32:38,app_1,197.04,1
2019/03/03,13:32:42,app_1,191.85,1
2019/03/03,13:32:46,app_1,191.77,1
2019/03/03,13:32:49,app_1,201.78,1
2019/03/03,13:32:53,app_1,204.73,1
2019/03/03,13:32:56,app_1,201.12,1
2019/03/03,13:33:0,app_1,197.73,1
2019/03/03,13:33:3,app_1,189.54,1
2019/03/03,13:33:10,app_1,200.56,1
2019/03/03,13:33:14,app_1,196.38,1
2019/03/03,13:33:18,app_1,202.38,1
2019/03/03,13:33:21,app_1,200.79,1
2019/03/03,13:33:25,app_1,200.91,1
2019/03/03,13:33:35,app_1,198.34,1
2019/03/03,13:33:39,app_1,193.26,1
2019/03/03,13:33:42,app_1,200.03,1
2019/03/03,13:33:46,app_1,193.51,1
2019/03/03,13:33:50,app_1,202.50,1
2019/03/03,13:33:53,app_1,194.99,1
2019/03/03,13:33:57,app_1,201.25,1
2019/03/03,13:34:0,app_1,202.55,1
2019/03/03,13:34:4,app_1,207.52,1
2019/03/03,13:34:8,app_1,204.96,1
2019/03/03,13:34:12,app_1,204.88,1
2019/03/03,13:34:16,app_1,209.96,1
2019/03/03,13:34:19,app_1,203.66,1
2019/03/03,13:34:26,app_1,203.72,1
2019/03/03,13:34:30,app_1,205.09,1
2019/03/03,13:34:37,app_1,201.97,1
2019/03/03,13:34:40,app_1,210.77,1
2019/03/03,13:34:44,app_1,198.87,1
2019/03/03,13:34:47,app_1,207.38,1
2019/03/03,13:34:51,app_1,206.63,1
2019/03/03,13:34:54,app_1,209.79,1
2019/03/03,13:34:58,app_1,199.08,1
2019/03/03,13:35:2,app_1,202.58,1
2019/03/03,13:35:5,app_1,219.36,1
2019/03/03,13:35:9,app_1,203.63,1
2019/03/03,13:35:12,app_1,210.88,1
2019/03/03,13:35:16,app_1,214.51,1
2019/03/03,13:35:19,app_1,206.44,1
2019/03/03,13:35:23,app_1,206.67,1
2019/03/03,13:35:27,app_1,206.01,1
2019/03/03,13:35:34,app_1,202.63,1
2019/03/03,13:35:41,app_1,209.30,1
2019/03/03,13:35:44,app_1,232.31,1
2019/03/03,13:35:48,app_1,206.45,1
2019/03/03,13:35:55,app_1,232.63,1
2019/03/03,13:36:2,app_1,204.53,1
2019/03/03,13:36:6,app_1,202.50,1
2019/03/03,13:36:9,app_1,208.35,1
2019/03/03,13:36:13,app_1,212.42,1
2019/03/03,13:36:16,app_1,203.10,1
2019/03/03,13:36:20,app_1,211.56,1
2019/03/03,13:36:24,app_1,192.30,1
2019/03/03,13:36:27,app_1,191.55,1
2019/03/03,13:36:34,app_1,205.76,1
2019/03/03,13:36:38,app_1,203.64,1
